"","x"
"1","bikin mudah nuruti butuh"
"2","min top up indomaret susah bayar"
"3","bantu"
"4","bagus bantu suai promo potong harga gofood diskon jalan vocer terimakasih gojek sukses"
"5","mantab kembang amanah"
"6","lemot"
"7","andal"
"8","pakelah ilmu dagang ambil untung dikit laku ambil untung laku jek"
"9","mahal malesss"
"10","ok trimakasih"
"11","serba mahal cuk"
"12","diskon"
"13","daftar promo ya"
"14","mantap"
"15","good"
"16","pesan ojek food barang pilih maxim onkos gojek muahal masuk driver tinggal gojek now"
"17","senang promo rb gocar"
"18","mantap puas apl gojek sukses"
"19","permisi bpk maaf gojek efesien ya kadang pinang tangerang anggar mahal banget entar gilir turun turun banget tolong benerin harga nya suai"
"20","ya good"
"21","tolong bantu gopay coin"
"22","alhamdulillah bantu"
"23","lokasi disetting otomatis lokasi kitar langgan ecek biaya gocar goride jarak bandara hotel setting lokasi kitar akibat ecek biaya laku lokasi deteksi"
"24","sulit tubuh sakit akun sakit"
"25","setia aplikasi gojek jama sekarang eh bikin gwe kesel aplikasi driver ojol nya kali jumpa driver ojol dijakarta khusunya jakarta pusat ramah emosi eh ya kali masuk gerbang tol gue bayr lucu bikin lucu carik pinjam kartu tol kepengendara lucu aneh sumpah gue gojek ojol bagus nik mrt"
"26","ok"
"27","bantu"
"28","good"
"29","mudah"
"30","ok"
"31","on time"
"32","driver arogan jalan malas install driver arogan"
"33","embel embel jdinya maless gopinjam tau omong doang"
"34","gilir komen balas gojek komen gopartner balas butuh driver kali ya order melepem harga bersahabt driver titik jemput"
"35","gojek promonya parah"
"36","kali coba pesan gobox mobil adakan aplikasi mudah susah cari mobil"
"37","mantap bosque"
"38","ok"
"39","habis update lihat jalan drivernya pantau kadang suka log out"
"40","wow"
"41","atur main"
"42","bintang kali upgred gopay plus gagal mulu"
"43","nice"
"44","simple bantu"
"45",""
"46","ah"
"47","ok"
"48","mahal semenjak biaya jasa aplikasi uninstal deh bye"
"49","kalah grab shopee kasihan drivernya biaya layan gofod hemat terima driver layak"
"50","saing lu jek tutup tutup aplikasi lu"
"51","bantu"
"52","respon bagus"
"53","versi pas pesan ride drivernya ah error pesan transfer mandiri logo mandiri doang demen banget bikin aplikasi error uang ya bayar pro kerja"
"54","oke"
"55","proses cepat mudah tenor gopay pinjam"
"56","mantap sih gampang pergi jalan jalan tunggu gopay hadir disemarang moga adakan ya bikin akun nyata semarang akses"
"57","yes its good"
"58","gosen sembunyi no nya kasih no wa"
"59","mudahh"
"60","beli pulsa go pulsa masuk pulsa suruh tunggu x jam"
"61","oke banget"
"62","enak"
"63","dana akun bajak nyata iklan korban aplikasi security code masuk aplikasi ponsel hilang pindah tang saldo gopay rawan lenyap"
"64","transfer gopay siiii akun akun temenku tf gopay tolong"
"65","mantap"
"66","pinjam nih apliksi ya"
"67","ok"
"68","argo gojek cekik driver customer bayr mahal"
"69","cinta neger kak"
"70","aplikasi sampah tipu"
"71","membaantu jalan"
"72","beli pulsa gopay"
"73","sikap driver ramah"
"74","layan buruk"
"75","aplikasi manfaat"
"76","ok"
"77","nice"
"78","mantap"
"79","salam aspal"
"80","harap gojek kaji seleksi mitra driver kendara seleksi segi umur mitra driver driver usia nya sepuh celaka stamina bapak tua kendara kemudi pelan cakap kendara berbagaya service celaka"
"81","kayak ormas driver nya suka campur urus orang"
"82","bantu"
"83","au ah"
"84","nyaman cepat"
"85","keren"
"86","oke"
"87","aplikasi bantu"
"88","ayan gojek top deh diskon abang gojek nya ramah sopan the best pokok"
"89","ra kenek diinstal bolo"
"90","apk duit gua hilang tb tb pas masuk akun akun apk tolol"
"91","aplikasi peduli langgan peduli drivernya langgan senang driver senep"
"92","mantuuuuullll"
"93","pelit promo"
"94","pakai transfer bank masuk saldo gopay nya apk turun"
"95","kasih voucher ujung ujung nya ongkir mahal biaya pesan go food nya diskon nama nya puter doang customer tarik mending hapus voucher nya tutup biaya aplikasi"
"96","character"
"97","gopaylater cicil"
"98","respon cepat tarif standart tarf unt gofood mahal"
"99","tolong benah sistem tip kalo asih tip masuk pin biar gara mencet dobel pas jaring lemot potong dobel kalo asih tip trauma kirim dobel"
"100","ok"
"101","ok"
"102","pikir gojek murah bantu transportasi anak sekolah murah transportasi konvensional mah murah aplikasi banding aplikasi parah drivernya cepat telat deh tutup aplikasi playstore"
"103","aplikasi error top up masuk untung bawa cash susah deh bikin lapor bilang topup butuh x jam kapok deh pakai aplikasi nyaman topup bayar tagih pakai aplikasi"
"104","tah nya"
"105","aplikasi ngerugiin driver"
"106","ok"
"107","bantu"
"108","muas langgan"
"109","bantu"
"110","character"
"111","gocar itu sih the best"
"112","mantul"
"113","apikasi kagak"
"114","sungguh kecewa kian trimakasih pakai gojek lgih"
"115","scan qr belanja gopay saldo sukses notif beli anehh sistem sistem"
"116","bagus aplikasi"
"117","kecewa gocar drive sombong order cancel tunggu"
"118","aplikasi bagus update sambung akun gagal mulu moga cepat nih sistem gopay gojek nya"
"119","cari lokasi aplikasi akurat kalo cari lokasi google map akurat ya akurat lokasi butuh konsumen solusi ganti pakai ojol"
"120","sepi order turun jam jam tunggu masuk order go jek"
"121","eror input promo moga"
"122","aplikasi bagus bantu"
"123","gopay matiin autentikasi pakai sms kah nomor hilang coba pakai email kode otp masuk coba hubung cs nya bantu sekal plis tolongin"
"124","ubah sistem tolong hapus biaya jasa layan biaya nya order normal jasa"
"125","gojek andal"
"126","tolong mendetek driver"
"127","qawaqe"
"128","mahal"
"129","bapa pakai gopay simpan uang gopay gopay blokir alesan situ saldo jt hangus"
"130","gopaylater rb gopay pinjem ya"
"131","penawaran acc aju"
"132","kasih biar kembang"
"133","bantu sekal"
"134",NA
"135",""
"136","tolong dibenerin habis update suruh upgrade gopay plus update upgrade gopay premium"
"137","pesan tolak driver alas tunggu drivernya banget gerak titik buru profesional sekal mending pakai app sebelah harga murah drivernya sopan"
"138","biaya mahal ekonomi susah"
"139","mantap"
"140","memuaskn"
"141","mohon taruh filter halal"
"142","tolong ya aplikasi tahan saldo orang verifikasi tolak alas ktp bayar akun gopay"
"143","cepat kemudi"
"144","sanagat bantu sekal aplikasi"
"145","mantap"
"146","pindah gopay primium gopay plus saldo gopay primium otomatis pindah gopay plus"
"147","gps akurat"
"148","good"
"149","parah gojek costumer gue blokir"
"150","beuki hararese gojjek"
"151","ok mantap"
"152","kemudi nya sopan cepat akrab"
"153","bagus jelak"
"154","tks ya"
"155","senang"
"156","server down"
"157","plus min pesan terima selesai gopay"
"158","iklanya ganggu"
"159","oke banget"
"160","mantap"
"161","top"
"162","etik alamat indak ketemu nyebeliinnnnn indak kayak google maps langsung ketemu"
"163","beku hapus daftar gojek bekuk apk aneh"
"164","ampuuunnn deh hapus aplikasi hape download apk gojek gede sih mbak nya aplikasi hapus mbanking hapus gojek hadeuhhh kalo mbak nya biar download"
"165","go car nya sulit"
"166","masuk akal ongkos gila gila siksa driver bonus kerja rodi"
"167","layan gofood hemat ongkirnya ongkir reguler letak hemat bossku"
"168","mantab"
"169","ok"
"170","mantap bantu"
"171","enak lo ye saldo bekuk dasar"
"172","bagus"
"173","cepat ramah"
"174","lumayan bagus promo"
"175","bantu"
"176","character"
"177","download aplikasi alat transportasi oke"
"178","aplikasi aneh ngeblock ngotak"
"179","nice"
"180","layan muas"
"181","bagus tingkat"
"182","goooddddd"
"183","gojek tolong simak hati lihat mitra mu jalan jasa aplikasi mahal castamer pindah aplikasi driver aka maju mudah cari mitra kalo sistem rubah"
"184","fed"
"185","character"
"186","mantap"
"187","aplikasi bagus orang ramah ramah"
"188","good"
"189","download pesan jam gadapet driver sih nih aplikasi kalo titik drivernya kasih tau bikin orang tunggu telat kerja"
"190","gojek gojek ayan buruk"
"191","berat badan kg muat jwbn tunggu ya"
"192","bagus"
"193","kgaa jls mesen gojek tumpang driver nya menit driver"
"194","mantul mas bro"
"195","aplikasi bantu lancar transportasi"
"196","mantap tks"
"197","muter tunggu drivernya kayak pesan langsung driver kalo pesan go food drivernya kadang driver drivernya aplikasi gojek kayak biar tunggu aplikasi nya parah banget lelet"
"198","mantap"
"199","gojek susah login masuk semenjak pakai verifikasi link ribet mending pakai verifikasi sms mudah cs nya solusi nya rumit bayar tokped kadang error nya pin suai pin salah pin suai maksa bilang pin suai tau pin tau pin suai salah mulu gopay nya"
"200","bagus gratis transfer x apk biru mohon min"
"201","nyaman"
"202","tarif biaya aplikasi pesan"
"203","gojek promonya disc ongkir rb kalo disc ongkir gede mesti hrz min beli rb rb kalo hrz syarat pakai min beli mending pakai promo skalian ongkir gojek mahal hrz byr biaya penanganan aplikasi harga gofoods mahal hadeuhh beli donat rb hrz byr toral rb ongkir rb biaya aplikasi rb bangkrut gojek bubar"
"204","saldo teman"
"205","sistem drivernya kayak main game"
"206","reputasi buruk dc kredit pintar cicil lunas bilang teror kerja profesional"
"207","gojek manusiawi potong kasihan driver nya tau pundi pundi uang utama driver lihat driver sejahtera"
"208","ayan nya muas"
"209","oklah"
"210","joss pis"
"211","gojek aplikasi menu gopay nya muncul transaksi susah banget uninstal muncul balikin uang gopay gua woy sesal pakai gojek"
"212","habis tf orang muncul saldo salah saldo asli situ saldo asli mending uninstall jalan ngebug sesal simpan duit"
"213","aplikasi"
"214","korup ya kayak mahal"
"215","cepat"
"216","najis banget gojrk tf verifikasi ktp verifikasi tolak suai ktp muka muka gua simetris orang muka simetris anjing sial ksl"
"217","habis update saldo gopay muncul"
"218","muas"
"219","bapuk bos feersi gacir sih jalan trip"
"220","ribet banget argo nya mhal"
"221","mantap"
"222","terbaekkkk"
"223","mantap"
"224","top"
"225","gocar driver nya enak ramah"
"226","murah sopan aman bersih"
"227","ok"
"228","turun apk lemot banget"
"229","order gocar loadingnya banget uninstal ya"
"230","respon cs nya muas slow respon"
"231","bagus"
"232","mantap"
"233","lodingnya banget timbul saldo"
"234","bagus"
"235","simple bantu"
"236","maju putra bangsa"
"237","tarik saldo gopay rekening bank banget proses tunggu kena biaya admin"
"238","aplikasi lambat banget pengin cek saldo gopay banget"
"239","tarif otak tutup"
"240","bug pesan hapus auto install ulang aplikasi wkwkw"
"241",""
"242","lemot"
"243","ngebug ya saldo loading min mohon"
"244","tarik saldo nya"
"245","masuk otp"
"246","lapor indak pesan jaring bagus sar diisrh logout login kembali stlah login saldo gopay hilang dasar indak jls aplikasi lelet stupid"
"247","ayan"
"248","gojek gopay rp gopay loading ya sinyal bagus mohon bantu gojek"
"249",NA
"250","transfer uang gopay"
"251","update pengaruh tf gopay woy"
"252","moga amanah"
"253","sistem enggak beres potong raja lela ongkos cekik gara gara management gojek pikir profit usaha bilang rugi sistem driver mitra cekik costumer pelnggan tinggal aplikasi gojek driver costumer kalo sistem kesni parah"
"254","aplikasi lemot"
"255","mahal biaya layan harga makan murah mahal gara biaya layan promo diskon akal an kecewa"
"256","upgrade goplay plus hadehh"
"257","order doble gofood yv order tarif rp suai harga bensin cutomernya kena biaya ongkir normal kah coba"
"258","drivernya sopan sekal"
"259","upgrade kirim saldo"
"260","sekal"
"261","pas transaksi input pin terang koneksi g unlimited jaring lancar aplikasi update"
"262","harga mahal"
"263","prioritas"
"264","sabar shalat tolong qs al baqarah"
"265","kali kasih kritik masuk kritik jeeee hebat"
"266","good"
"267","anyeb gojek anyeb"
"268",NA
"269","transfer bank mandiri"
"270","ok"
"271","terima kasih aplikasi batu"
"272","good"
"273","kadang tahap sulit"
"274","coba"
"275","tau"
"276","mahal sekal potongan usaha tinggal duduk kasih uang uaasyuuuu sekal"
"277","mantul pis"
